rank,title,download
44.4,2013年喜剧《电影43》720p.BD中英双字幕,ftp://ygdy8:ygdy8@d201.dygod.org:9062/[阳光电影www.ygdy8.com].电影43.BD.720p.中英双字幕.rmvb
9.5,2011年度BBC记录大片《冰冻星球》BD中英双字,ftp://dygod1:dygod1@d068.dygod.org:1027/BBC：冰冻星球/[电影天堂-www.dy2018.net]BBC：冰冻星球第一集BD中英双字.rmvb
9.4,09最新惊悚动作片《侦探马龙》DVD中英双字,ftp://dygod1:dygod1@d500.dygod.com:4095/侦探马龙DVD中英双字/[电影天堂www.dygod.com].侦探马龙DVD中英双字.rmvb
9.3,2017年9.3高分战争《忍之国/忍者之国》BD日语中字,ftp://ygdy8:ygdy8@yg45.dydytt.net:4028/阳光电影www.ygdy8.net.忍者之国.BD.720p.日语中字.mkv
9.1,1024分辨率《盗梦空间》BD中英双字无水印,ftp://dygod1:dygod1@d052.dygod.org:2063/盗梦空间.[中英双字.1024分辨率]/[电影天堂www.dytt8.net]盗梦空间BD中英双字.rmvb
9.1,2010最新高分大片《盗梦空间》DVD中英双字,ftp://dygod1:dygod1@d312.dygod.org:1206/盗梦空间DVD中英双字/[电影天堂www.dy2018.net]盗梦空间DVD中英双字-cd1.rmvb
9.1,2010最新高分科幻《盗梦空间》DVD中字,ftp://dygod1:dygod1@d312.dygod.org:1205/盗梦空间DVD/[电影天堂www.dy2018.net]盗梦空间cd1.rmvb
9,2012年最新《哆啦A梦：大雄与奇迹之岛》DVD国语中字,ftp://dygod3:dygod3@d311.dydytt.com:7116/[电影天堂www.dy2018.net].哆啦A梦：大雄与奇迹之岛DVD国语中字.rmvb
9,2010最新高分大片《玩具总动员3》DVD中字,ftp://dygod1:dygod1@d606.dygod.org:4007/玩具总动员3/[电影天堂www.dy2018.net]玩具总动员3.rmvb
9,1024分辨率《黄金三镖客》BD中英双字无水印,ftp://dygod1:dygod1@d035.dygod.org:5005/黄金三镖客.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]黄金三镖客BD中英双字.rmvb
8.9,1024分辨率《黑天鹅》BD中英双字无水印,ftp://dygod1:dygod1@d322.dygod.org:8007/黑天鹅.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]黑天鹅BD中英双字.rmvb
8.9,2010最新高分大片《黑天鹅》DVDscr中英双字,ftp://dygod1:dygod1@d606.dygod.org:4027/黑天鹅DVDscr中英双字/[电影天堂www.dy2018.net]黑天鹅DVDscr中英双字.rmvb
8.9,1024分辨率《玩具总动员3》BD中英双字无水印,ftp://dygod1:dygod1@d606.dygod.org:2010/玩具总动员3.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]玩具总动员3BD中英双字.rmvb
8.9,09最新高分科幻《保卫者》DVD中英双字,ftp://dygod1:dygod1@d033.dygod.org:2032/保卫者DVD中英双字/[电影天堂www.dy2018.net]保卫者DVD中英双字.rmvb
8.8,09最新动作片《热血高校2》DVD中字,ftp://dygod1:dygod1@d122.dygod.cn:1382/热血高校2DVD/[电影天堂www.dygod.com]热血高校2-cd1.rmvb
8.8,2015年8.8高分动作《误杀瞒天记》BD中英双字幕,ftp://ygdy8:ygdy8@y219.dydytt.net:9031/[阳光电影www.ygdy8.com].误杀瞒天计.BD.720p.中英双字幕.rmvb
8.8,2015年高分动作《巴霍巴利王(上)》BD中英双字幕,ftp://ygdy8:ygdy8@y201.dygod.org:1442/[阳光电影www.ygdy8.com].巴霍巴利王(上).BD.720p.中英双字幕.rmvb
8.8,2014年高分获奖科幻《星际穿越》BD中英双字幕,ftp://ygdy8:ygdy8@y201.dygod.org:1218/[阳光电影www.ygdy8.com].星际穿越.BD.720p.中英双字幕.rmvb
8.8,2014年8.8高分动作《突袭2：暴徒》720p.BD中英双字幕,ftp://ygdy8:ygdy8@y201.dygod.org:9016/[阳光电影www.ygdy8.com].突袭2：暴徒.BD.720p.中英双字幕.rmvb
8.8,2014年高分喜剧《女皇/女王旅途》720p.BD中英双字幕,ftp://ygdy8:ygdy8@d201.dygod.org:9221/[阳光电影www.ygdy8.com].女皇.BD.720p.中英双字幕.rmvb
8.7,2013年冒险动画《龙珠Z：神与神》720p.BD中字,ftp://dygod1:dygod1@d070.dygod.org:1140/[阳光电影www.ygdy8.com].龙珠Z：神与神.BD.720p.中文字幕.rmvb
8.7,2017年8.7高分获奖动画《寻梦环游记》BD国英双语双字,ftp://ygdy8:ygdy8@yg45.dydytt.net:7122/阳光电影www.ygdy8.com.寻梦环游记.BD.720p.国英双语双字.mkv
8.7,2017年8.7高分获奖动画《寻梦环游记》HD国英双语中字,ftp://ygdy8:ygdy8@yg45.dydytt.net:8116/[阳光电影www.ygdy8.net]寻?舡h游记.HD.720p.国英双语中字.mkv
8.7,2016年高分悬疑《神探夏洛克》HD中英双字幕,ftp://ygdy8:ygdy8@y219.dydytt.net:9008/[阳光电影www.ygdy8.com].神探夏洛克.HD.720p.中英双字幕.rmvb
8.7,2014年精彩纪录片《BBC：隐秘王国》BD中英双字幕,ftp://ygdy8:ygdy8@y201.dygod.org:8093/[阳光电影www.ygdy8.com].BBC：隐秘王国.E01.BD.720p.中英双字幕.rmvb
8.7,1024x576《BBC 理查德?哈蒙德：看不见的世界》BD中字无水印,ftp://dygod3:dygod3@d505.dygod.org:3014/[电影天堂www.dy2018.net]BBC理查德哈蒙德：看不见的世界BD中字-cd1.mkv
8.6,宫崎骏经典动画《千与千寻》BD国粤日三语中字,ftp://ygdy8:ygdy8@y006.dygod.org:1030/[阳光电影www.ygdy8.com].千与千寻.BD.720p.国粤日三语.中文字幕.mkv
8.6,08高分获奖新片《在世界转角遇见爱》DVD中字,ftp://dygod1:dygod1@d062.dygod.com:2232/在世界转角遇见爱DVD/[电影天堂www.dytt8.net].在世界转角遇见爱-cd1.rmvb
8.6,2015年科幻《神秘博士：2015圣诞特别篇》BD中英双字幕,ftp://ygdy8:ygdy8@y219.dydytt.net:9026/[阳光电影www.ygdy8.com].神秘博士：2015圣诞特别篇.BD.720p.中英双字幕.rmvb
8.6,2015年动作《疯狂的麦克斯：狂暴之路》BD中英双字幕,ftp://ygdy8:ygdy8@y201.dygod.org:1364/[阳光电影www.ygdy8.com].疯狂的麦克斯：狂暴之路.BD.720p.中英双字幕.rmvb
8.6,2015年8.6高分动作《疯狂的麦克斯：狂暴之路》BD中英双字幕,ftp://ygdy8:ygdy8@y201.dygod.org:1315/[阳光电影www.ygdy8.com].疯狂的麦克斯：狂暴之路.HD.720p.中英双字幕.rmvb
8.6,2014年8.6高分获奖剧情《爆裂鼓手》BD中英双字幕,ftp://ygdy8:ygdy8@y201.dygod.org:1187/[阳光电影www.ygdy8.com].爆裂鼓手.BD.720p.中英双字幕.rmvb
8.6,2014年8.6高分喜剧《外星醉汉PK地球神》BD中文字幕,ftp://ygdy8:ygdy8@y201.dygod.org:1177/[阳光电影www.ygdy8.com].外星醉汉PK地球神.BD.576p.中文字幕.rmvb
8.6,2013年动画喜剧《猫和老鼠之巨人大冒险》720p.BD中英双字幕,ftp://dygod1:dygod1@d070.dygod.org:1116/[阳光电影www.ygdy8.com].猫和老鼠之巨人大冒险.BD.720p.中英双字幕.rmvb
8.6,2012年高分科幻动作《光环4：迈向黎明》720p.BD中英双字幕,ftp://dygod1:dygod1@d311.dydytt.com:8015/[电影天堂www.dy2018.net].光环4：迈向黎明.720p.BD中英双字幕.rmvb
8.6,2012年最新动作《复仇者联盟》DVD中英双字,ftp://dygod1:dygod1@d303.dydytt.com:8020/[电影天堂www.dy2018.net].复仇者联盟DVD中英双字.rmvb
8.6,1024分辨率《纳德和西敏：一次别离》BD中英双字,ftp://dygod1:dygod1@d317.dygod.org:1044/纳德和西敏：一次别离.[中英双字.1024分辨率]/[电影天堂-www.dy2018.net]纳德和西敏：一次别离BD中英双字.rmvb
8.6,1024分辨率《出租车司机》BD中英双字无水印,ftp://dygod1:dygod1@d095.dygod.org:3388/出租车司机.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]出租车司机BD中英双字.rmvb
8.6,1024分辨率《精英部队2/精锐部队2》BD中字无水印,ftp://dygod1:dygod1@d038.dygod.org:2274/精英部队2.[中字.1024分辨率]/[电影天堂www.dy2018.net]精英部队2BD中字.rmvb
8.6,1024分辨率《阿凡达加长版》BD中英双字无水印,ftp://dygod1:dygod1@d036.dygod.org:1201/阿凡达加长版.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]阿凡达加长版BD中英双字.rmvb
8.6,1024分辨率《美国丽人》BD中英双字无水印,ftp://dygod1:dygod1@d007.dygod.org:6027/美国丽人.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]美国丽人BD中英双字.rmvb
8.6,1024分辨率《BBC：生命》全集BD中英双字无水印,ftp://dygod1:dygod1@d035.dygod.org:1131/BBC：生命.[中英双字.1024分辨率]/[电影天堂www.dy2018.net].BBC：生命第一集.rmvb
8.6,1024分辨率《天使爱美丽》BD中字无水印,ftp://dygod1:dygod1@d035.dygod.org:2019/天使爱美丽.[中字.1024分辨率]/[电影天堂www.dy2018.net]天使爱美丽BD中字.rmvb
8.6,1024分辨率《阿凡达/化身》BD中英双字无水印,ftp://dygod1:dygod1@d079.dygod.org:1004/阿凡达.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]阿凡达BD中英双字.rmvb
8.6,09最新剧情《爸，你好吗？》DVD中字,ftp://dygod1:dygod1@d055.dygod.org:1351/爸，你好吗？DVD/[电影天堂www.dyg2018.net].爸，你好吗？-cd1.rmvb
8.6,09科幻动作大片《阿凡达》DVD中英双字,ftp://dygod1:dygod1@d055.dygod.org:2430/阿凡达DVD中英双字/[电影天堂www.dyg2018.net]阿凡达DVD中英双字.cd1.rmvb
